Criação da handle do arquivo XSV bem sucedida.
Definição do separador na handle do arquivo XSV bem sucedida.
Definição do arquivo de input da handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Transoformação da lista de colunas em conjunto de colunas bem sucedida.
DENOM_SOCIAL;DENOM_SOCIAL;SIT;CD_CVM;SETOR_ATIV
CEMEPE INVESTIMENTOS SA;CEMEPE INVESTIMENTOS SA;ATIVO;13854;EMP. ADM. PART. - SEM SETOR PRINCIPAL
CEMIG DISTRIBUIÇÃO S/A;CEMIG DISTRIBUIÇÃO S/A;ATIVO;20303;ENERGIA ELÉTRICA
CEMIG GERAÇÃO E TRANSMISSÃO S/A;CEMIG GERAÇÃO E TRANSMISSÃO S/A;ATIVO;20320;ENERGIA ELÉTRICA
CEMIG TELECOMUNICAÇÕES S/A;CEMIG TELECOMUNICAÇÕES S/A;CANCELADA;18716;TELECOMUNICAÇÕES
CENTENNIAL ASSET PART. MINAS-RIO S/A;CENTENNIAL ASSET PART. MINAS-RIO S/A;CANCELADA;20176;EMP. ADM. PART. - EXTRAçãO MINERAL
CENTENNIAL ASSET PARTICIPAÇÕES AÇU SA;CENTENNIAL ASSET PARTICIPAÇÕES AÇU SA;CANCELADA;21245;EMP. ADM. PART. - SERVIçOS TRANSPORTE E LOGíSTICA
CENTRAIS ELETRICAS BRASILEIRAS SA;CENTRAIS ELETRICAS BRASILEIRAS SA;ATIVO;2437;ENERGIA ELÉTRICA
CENTRAIS ELÉTRICAS CACHOEIRA DOURADA S/A;CENTRAIS ELÉTRICAS CACHOEIRA DOURADA S/A;CANCELADA;16322;ENERGIA ELÉTRICA
CENTRAIS ELETRICAS DE SANTA CATARINA S.A;CENTRAIS ELETRICAS DE SANTA CATARINA S.A;ATIVO;2461;ENERGIA ELÉTRICA
CENTRO DE IMAGEM DIAGNÓSTICOS S.A.;CENTRO DE IMAGEM DIAGNÓSTICOS S.A.;ATIVO;24058;SERVIÇOS MÉDICOS
CENTRO HOSPITALAR  ALBERT SABIN SA;CENTRO HOSPITALAR  ALBERT SABIN SA;CANCELADA;15318;SERVIÇOS MÉDICOS
CENTRO SECULO XXI SA;CENTRO SECULO XXI SA;CANCELADA;16640;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CENTROVIAS-SISTEMAS RODOVIARIOS S/A;CENTROVIAS-SISTEMAS RODOVIARIOS S/A;CANCELADA;21857;SERVIçOS TRANSPORTE E LOGíSTICA
CEPEBE SA;CEPEBE SA;CANCELADA;2470;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
CERAMICA CHIARELLI SA - EM RECUPERAÇÃO JUDICIAL;CERAMICA CHIARELLI SA - EM RECUPERAÇÃO JUDICIAL;CANCELADA;2488;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CERAMICA PORTO FERREIRA SA;CERAMICA PORTO FERREIRA SA;CANCELADA;2500;EXTRAÇÃO MINERAL
CERAMICA SANTA MARCIA SA;CERAMICA SANTA MARCIA SA;CANCELADA;2518;EXTRAÇÃO MINERAL
CERAMICA SANTO ANTONIO SA;CERAMICA SANTO ANTONIO SA;CANCELADA;2526;EXTRAÇÃO MINERAL
CERAMICA SAO JOSE GUACU;CERAMICA SAO JOSE GUACU;CANCELADA;2542;EXTRAÇÃO MINERAL
CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO;CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO;ATIVO;2577;ENERGIA ELÉTRICA
CETENCO ENGENHARIA SA;CETENCO ENGENHARIA SA;CANCELADA;2585;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CETERP-CENT TELEF RIB PRETO SA;CETERP-CENT TELEF RIB PRETO SA;CANCELADA;15288;TELECOMUNICAÇÕES
CETIP S.A. - MERCADOS ORGANIZADOS;CETIP S.A. - MERCADOS ORGANIZADOS;CANCELADA;21792;INTERMEDIAÇÃO FINANCEIRA
CEVAL PARTICIPAÇOES SA;CEVAL PARTICIPAÇOES SA;CANCELADA;16829;OUTRAS ATIVIDADES INDUSTRIAIS
CEVEKOL SA IND COM PROD QUIM;CEVEKOL SA IND COM PROD QUIM;CANCELADA;2607;PETROQUíMICOS E BORRACHA
CHAPECO CIA INDL DE ALIMENTOS;CHAPECO CIA INDL DE ALIMENTOS;CANCELADA;12637;ALIMENTOS
CHAPECO PARANA SA IND E COM;CHAPECO PARANA SA IND E COM;CANCELADA;2615;ALIMENTOS
CHASE MANHATTAN LEASING SA A M;CHASE MANHATTAN LEASING SA A M;CANCELADA;8419;ARRENDAMENTO MERCANTIL
CHEMICAL TRUST S/A;CHEMICAL TRUST S/A;CANCELADA;18767;EMP. ADM. PARTICIPAÇÕES
CHINA CONSTRUCTION BANK(BRASIL) BANCO MÚLTIPLO S.A.;CHINA CONSTRUCTION BANK(BRASIL) BANCO MÚLTIPLO S.A.;CANCELADA;21113;BANCOS
CIA AGRO INDL DE GOIAS CAGIGO;CIA AGRO INDL DE GOIAS CAGIGO;CANCELADA;2674;ALIMENTOS
CIA AGRO PECUARIA SANTA INES;CIA AGRO PECUARIA SANTA INES;CANCELADA;2690;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
CIA ALGIMAR INDUSTRIA QUIMICA ALGINATOS;CIA ALGIMAR INDUSTRIA QUIMICA ALGINATOS;CANCELADA;2704;ALIMENTOS
CIA AMAZONENSE SAPONIFICACAO;CIA AMAZONENSE SAPONIFICACAO;CANCELADA;2712;PETROQUíMICOS E BORRACHA
CIA AMERICA FABRIL;CIA AMERICA FABRIL;CANCELADA;2747;TEXTIL E VESTUÁRIO
CIA AMERICA SUL CFI;CIA AMERICA SUL CFI;CANCELADA;2739;BANCOS
CIA AUXILIAR EMP MIN CAEMI;CIA AUXILIAR EMP MIN CAEMI;CANCELADA;2780;EMP. ADM. PARTICIPAÇÕES
CIA BANDEIRANTES ARMS GERAIS;CIA BANDEIRANTES ARMS GERAIS;CANCELADA;2810;SERVIçOS TRANSPORTE E LOGíSTICA
CIA BANDEIRANTES CFI;CIA BANDEIRANTES CFI;CANCELADA;2801;BANCOS
CIA BANGU DESENVOLVIMENTO PARTICIPAÇÕES;CIA BANGU DESENVOLVIMENTO PARTICIPAÇÕES;CANCELADA;2828;EMP. ADM. PART. - TêXTIL E VESTUáRIO
CIA BOZANO SIMONSEN COM IND;CIA BOZANO SIMONSEN COM IND;CANCELADA;2836;EMP. ADM. PARTICIPAÇÕES
CIA BRAS MATERIAIS COBRACO;CIA BRAS MATERIAIS COBRACO;CANCELADA;2852;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CIA BRAS PLASTICOS MONSANTO;CIA BRAS PLASTICOS MONSANTO;CANCELADA;2879;PETROQUíMICOS E BORRACHA
CIA BRAS PROJETOS OBRAS CBPO;CIA BRAS PROJETOS OBRAS CBPO;CANCELADA;2887;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CIA BRASILEIRA DE ESTRUTURAS METALICAS;CIA BRASILEIRA DE ESTRUTURAS METALICAS;CANCELADA;2844;METALURGIA E SIDERURGIA
CIA CACIQUE CAFE SOLUVEL;CIA CACIQUE CAFE SOLUVEL;CANCELADA;2909;ALIMENTOS
CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN;CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN;ATIVO;16861;SANEAMENTO, SERV. ÁGUA E GáS
CIA CERVEJARIA BRAHMA;CIA CERVEJARIA BRAHMA;CANCELADA;2917;BEBIDAS E FUMO
CIA CERVEJARIA CUIABANA;CIA CERVEJARIA CUIABANA;CANCELADA;2925;BEBIDAS E FUMO
CIA CIMENTO ATOL;CIA CIMENTO ATOL;CANCELADA;2976;EXTRAÇÃO MINERAL
CIA CIMENTO IPANEMA;CIA CIMENTO IPANEMA;CANCELADA;2992;EXTRAÇÃO MINERAL
CIA CIMENTO PORTL GAUCHO;CIA CIMENTO PORTL GAUCHO;CANCELADA;3000;EXTRAÇÃO MINERAL
CIA CIMENTO PORTL PARAISO;CIA CIMENTO PORTL PARAISO;CANCELADA;3018;EXTRAÇÃO MINERAL
CIA CIMENTO SALVADOR;CIA CIMENTO SALVADOR;CANCELADA;3026;EXTRAÇÃO MINERAL
CIA COMERCIAL BORBA CAMPO;CIA COMERCIAL BORBA CAMPO;CANCELADA;2941;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
CIA COML SCHRADER;CIA COML SCHRADER;CANCELADA;2950;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
CIA CONSTRUTORA PEDERNEIRAS;CIA CONSTRUTORA PEDERNEIRAS;CANCELADA;12491;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CIA DE AGUA E ESGOTO DA PARAIBA;CIA DE AGUA E ESGOTO DA PARAIBA;CANCELADA;19968;SANEAMENTO, SERV. ÁGUA E GáS
CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA;CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA;ATIVO;18708;EMP. ADM. PART. - SEM SETOR PRINCIPAL
CIA DE RECUPERAÇÃO SECUNDÁRIA;CIA DE RECUPERAÇÃO SECUNDÁRIA;CANCELADA;19240;PETRÓLEO E GÁS
CIA DES ARAGUAIA CODEARA;CIA DES ARAGUAIA CODEARA;CANCELADA;12025;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
CIA DESENVOLVIMENTO AGRO PECUARIA INDUSTRIAL MIN EST PA;CIA DESENVOLVIMENTO AGRO PECUARIA INDUSTRIAL MIN EST PA;CANCELADA;3034;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
CIA DOCAS DE IMBITUBA;CIA DOCAS DE IMBITUBA;CANCELADA;3174;SERVIçOS TRANSPORTE E LOGíSTICA
CIA ELETRICIDADE DA BAHIA;CIA ELETRICIDADE DA BAHIA;ATIVO;14524;ENERGIA ELÉTRICA
CIA ENERG CEARA - COELCE;CIA ENERG CEARA - COELCE;ATIVO;14869;ENERGIA ELÉTRICA
CIA ENERG MINAS GERAIS - CEMIG;CIA ENERG MINAS GERAIS - CEMIG;ATIVO;2453;ENERGIA ELÉTRICA
CIA ENERGÉTICA DE PERNAMBUCO - CELPE;CIA ENERGÉTICA DE PERNAMBUCO - CELPE;ATIVO;14362;ENERGIA ELÉTRICA
CIA ENERGÉTICA DO RIO GRANDE DO NORTE;CIA ENERGÉTICA DO RIO GRANDE DO NORTE;ATIVO;18139;ENERGIA ELÉTRICA
CIA ENERGETICA MERIDIONAL;CIA ENERGETICA MERIDIONAL;CANCELADA;16900;ENERGIA ELÉTRICA
CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE;CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE;ATIVO;16373;SANEAMENTO, SERV. ÁGUA E GáS
CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA;CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA;ATIVO;20648;ENERGIA ELÉTRICA
CIA ESTADUAL DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA;CIA ESTADUAL DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA;ATIVO;3204;ENERGIA ELÉTRICA
CIA FABRICA YOLANDA;CIA FABRICA YOLANDA;CANCELADA;3220;TEXTIL E VESTUÁRIO
CIA FABRIL MASCARENHAS;CIA FABRIL MASCARENHAS;CANCELADA;3239;TEXTIL E VESTUÁRIO
CIA FERRO BRASILEIRO;CIA FERRO BRASILEIRO;CANCELADA;3247;METALURGIA E SIDERURGIA
CIA FERRO LIGAS BAHIA FERBASA;CIA FERRO LIGAS BAHIA FERBASA;ATIVO;3069;METALURGIA E SIDERURGIA
CIA FIAÇÃO TECELAGEM PARA MINAS;CIA FIAÇÃO TECELAGEM PARA MINAS;CANCELADA;3255;TEXTIL E VESTUÁRIO
CIA GERAL DE INDUSTRIAS;CIA GERAL DE INDUSTRIAS;CANCELADA;3280;METALURGIA E SIDERURGIA
CIA HERING;CIA HERING;CANCELADA;3301;TEXTIL E VESTUÁRIO
CIA HERING;CIA HERING;ATIVO;14761;TEXTIL E VESTUÁRIO
CIA HIDRO ELÉTRICA DO SÃO FRANCISCO;CIA HIDRO ELÉTRICA DO SÃO FRANCISCO;ATIVO;3328;ENERGIA ELÉTRICA
CIA INDL AGRIC SANTA CECILIA;CIA INDL AGRIC SANTA CECILIA;CANCELADA;3433;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
CIA INDL AMAZONENSE;CIA INDL AMAZONENSE;CANCELADA;3379;METALURGIA E SIDERURGIA
CIA INDL MERC ARTEF FERRO;CIA INDL MERC ARTEF FERRO;CANCELADA;3468;METALURGIA E SIDERURGIA
CIA INDL MERC PAOLETTI;CIA INDL MERC PAOLETTI;CANCELADA;3441;ALIMENTOS
CIA INDL MICHELETTO;CIA INDL MICHELETTO;CANCELADA;3476;METALURGIA E SIDERURGIA
CIA INDL RIO GUAHYBA;CIA INDL RIO GUAHYBA;CANCELADA;3514;TEXTIL E VESTUÁRIO
CIA INDL SAO PAULO RIO CISPER;CIA INDL SAO PAULO RIO CISPER;CANCELADA;3530;EXTRAÇÃO MINERAL
CIA INDL SCHLOSSER SA - EM RECUPERAÇÃO JUDICIAL;CIA INDL SCHLOSSER SA - EM RECUPERAÇÃO JUDICIAL;ATIVO;3549;TEXTIL E VESTUÁRIO
CIA INDUSTRIAL AGROPECUARIA CONAPE;CIA INDUSTRIAL AGROPECUARIA CONAPE;CANCELADA;3360;ALIMENTOS
CIA INDUSTRIAL BELO HORIZONTE;CIA INDUSTRIAL BELO HORIZONTE;CANCELADA;3387;TEXTIL E VESTUÁRIO
CIA INDUSTRIAL BRASILEIRA ALIMENTOS;CIA INDUSTRIAL BRASILEIRA ALIMENTOS;CANCELADA;13811;ALIMENTOS
CIA INDUSTRIAL DOX;CIA INDUSTRIAL DOX;CANCELADA;3344;METALURGIA E SIDERURGIA
CIA INDUSTRIAL ITAUNENSE - EM RECUPERAÇÃO JUDICIAL;CIA INDUSTRIAL ITAUNENSE - EM RECUPERAÇÃO JUDICIAL;ATIVO;3450;METALURGIA E SIDERURGIA
CIA INDUSTRIAL PELES COUROS;CIA INDUSTRIAL PELES COUROS;CANCELADA;3425;TEXTIL E VESTUÁRIO
CIA INDUSTRIAL SANTA MATILDE;CIA INDUSTRIAL SANTA MATILDE;CANCELADA;3522;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
CIA INTER-ATLANTICO PARTICIPS;CIA INTER-ATLANTICO PARTICIPS;CANCELADA;15792;EMP. ADM. PARTICIPAÇÕES
CIA INTERNACIONAL FIDUCIARIA;CIA INTERNACIONAL FIDUCIARIA;CANCELADA;3557;EMP. ADM. PARTICIPAÇÕES
CIA INVEST DO PARA;CIA INVEST DO PARA;CANCELADA;3093;EMP. ADM. PARTICIPAÇÕES
CIA INVESTS LATINOAMERICANA;CIA INVESTS LATINOAMERICANA;CANCELADA;14745;EMP. ADM. PARTICIPAÇÕES
CIA IOCHPE;CIA IOCHPE;CANCELADA;3573;EMP. ADM. PARTICIPAÇÕES
CIA LECO DE PRODS ALIMENTICIOS;CIA LECO DE PRODS ALIMENTICIOS;CANCELADA;3603;ALIMENTOS
CIA LONDRIMALHAS HERINGER INDUSTRIA E COMERCIO;CIA LONDRIMALHAS HERINGER INDUSTRIA E COMERCIO;CANCELADA;12947;TEXTIL E VESTUÁRIO
CIA MADEIREIRA SAO MIGUEL;CIA MADEIREIRA SAO MIGUEL;CANCELADA;3620;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CIA MARANHENSE REFRIGERANTES;CIA MARANHENSE REFRIGERANTES;CANCELADA;3638;BEBIDAS E FUMO
CIA MATS SULFUROSOS MATSULFUR;CIA MATS SULFUROSOS MATSULFUR;CANCELADA;3646;EXTRAÇÃO MINERAL
CIA MINUANO DE ALIMENTOS;CIA MINUANO DE ALIMENTOS;CANCELADA;12246;ALIMENTOS
CIA NAC FRIGORIFICOS CONFRIO;CIA NAC FRIGORIFICOS CONFRIO;CANCELADA;3735;PESCA
CIA NACIONAL DE ALCALIS;CIA NACIONAL DE ALCALIS;CANCELADA;15555;PETROQUíMICOS E BORRACHA
CIA NACIONAL ESTAMPARIA CIANE;CIA NACIONAL ESTAMPARIA CIANE;CANCELADA;3727;TEXTIL E VESTUÁRIO
CIA NAVEGACAO LLOYD BRASILEIRO;CIA NAVEGACAO LLOYD BRASILEIRO;CANCELADA;3760;SERVIçOS TRANSPORTE E LOGíSTICA
CIA NITROQUIMICA BRASILEIRA;CIA NITROQUIMICA BRASILEIRA;CANCELADA;3778;PETROQUíMICOS E BORRACHA
CIA PARAIBA CIM PORTL CIMEPAR;CIA PARAIBA CIM PORTL CIMEPAR;CANCELADA;3786;EXTRAÇÃO MINERAL
CIA PAULISTA DE ADM DE ATIVOS;CIA PAULISTA DE ADM DE ATIVOS;CANCELADA;16683;EMP. ADM. PARTICIPAÇÕES
CIA PAULISTA DE LAMINACAO;CIA PAULISTA DE LAMINACAO;CANCELADA;3832;METALURGIA E SIDERURGIA
CIA PAULISTA ENERGIA ELETRICA;CIA PAULISTA ENERGIA ELETRICA;CANCELADA;3794;ENERGIA ELÉTRICA
CIA PAULISTA FERTILIZANTES;CIA PAULISTA FERTILIZANTES;CANCELADA;3816;PETROQUíMICOS E BORRACHA
CIA PESQS RECURSOS MINERAIS;CIA PESQS RECURSOS MINERAIS;CANCELADA;3107;SERVICOS DIVERSOS
CIA PETROLIFERA MARLIM;CIA PETROLIFERA MARLIM;CANCELADA;18899;PETRÓLEO E GÁS
CIA PIRATININGA DE FORÇA E LUZ;CIA PIRATININGA DE FORÇA E LUZ;ATIVO;19275;ENERGIA ELÉTRICA
CIA PNEUS TROPICAL;CIA PNEUS TROPICAL;CANCELADA;3867;PETROQUíMICOS E BORRACHA
CIA PRODUTORES ARMS GERAIS;CIA PRODUTORES ARMS GERAIS;CANCELADA;2631;SERVIçOS TRANSPORTE E LOGíSTICA
CIA PROGRESSO INDUSTRIAL BRASIL FABRICA BANGU;CIA PROGRESSO INDUSTRIAL BRASIL FABRICA BANGU;CANCELADA;3875;TEXTIL E VESTUÁRIO
CIA PROVINCIA DE SECURITIZAÇÃO;CIA PROVINCIA DE SECURITIZAÇÃO;ATIVO;19429;SECURITIZAÇÃO DE RECEBÍVEIS
CIA QUIMICA METACRIL;CIA QUIMICA METACRIL;CANCELADA;3883;PETROQUíMICOS E BORRACHA
CIA RIOGRANDENSE DE ADUBOS;CIA RIOGRANDENSE DE ADUBOS;CANCELADA;3905;PETROQUíMICOS E BORRACHA
CIA RIOGRANDENSE DE SANEAMENTO;CIA RIOGRANDENSE DE SANEAMENTO;ATIVO;16748;SANEAMENTO, SERV. ÁGUA E GáS
CIA RIOGRANDENSE TELECOMUNICAÇÕES;CIA RIOGRANDENSE TELECOMUNICAÇÕES;CANCELADA;3913;TELECOMUNICAÇÕES
CIA SALINAS PERYNAS;CIA SALINAS PERYNAS;CANCELADA;3930;EXTRAÇÃO MINERAL
CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO;CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO;ATIVO;14443;SANEAMENTO, SERV. ÁGUA E GáS
CIA SANTISTA DE PAPEL;CIA SANTISTA DE PAPEL;CANCELADA;3948;PAPEL E CELULOSE
CIA SEGUROS ALIANCA BAHIA;CIA SEGUROS ALIANCA BAHIA;ATIVO;3115;SEGURADORAS E CORRETORAS
CIA SEGUROS AMER SUL YASUDA;CIA SEGUROS AMER SUL YASUDA;CANCELADA;3123;SEGURADORAS E CORRETORAS
CIA SEGUROS BAHIA;CIA SEGUROS BAHIA;CANCELADA;3131;SEGURADORAS E CORRETORAS
CIA SEGUROS MINAS BRASIL;CIA SEGUROS MINAS BRASIL;CANCELADA;3140;SEGURADORAS E CORRETORAS
CIA SEGUROS RIO BRANCO;CIA SEGUROS RIO BRANCO;CANCELADA;12475;SEGURADORAS E CORRETORAS
CIA SERVICOS ENGA SERVIENGE;CIA SERVICOS ENGA SERVIENGE;CANCELADA;3956;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CIA SID ALAGOAS COMESA;CIA SID ALAGOAS COMESA;CANCELADA;3999;METALURGIA E SIDERURGIA
CIA SID NORDESTE;CIA SID NORDESTE;CANCELADA;4014;METALURGIA E SIDERURGIA
CIA SID PAINS;CIA SID PAINS;CANCELADA;4049;METALURGIA E SIDERURGIA
CIA SIDERURGICA AMAZONIA;CIA SIDERURGICA AMAZONIA;CANCELADA;3972;METALURGIA E SIDERURGIA
CIA SIDERURGICA MOGI CRUZES;CIA SIDERURGICA MOGI CRUZES;CANCELADA;4006;METALURGIA E SIDERURGIA
CIA SIDERURGICA NACIONAL;CIA SIDERURGICA NACIONAL;ATIVO;4030;METALURGIA E SIDERURGIA
CIA T JANER COM IND;CIA T JANER COM IND;CANCELADA;4073;COMÉRCIO (ATACADO E VAREJO)
CIA TECIDOS NORTE DE MINAS - COTEMINAS;CIA TECIDOS NORTE DE MINAS - COTEMINAS;ATIVO;3158;TEXTIL E VESTUÁRIO
CIA TECIDOS SANTANENSE;CIA TECIDOS SANTANENSE;ATIVO;4081;TEXTIL E VESTUÁRIO
CIA TECNICA DE ENGENHARIA ELETRIC A;CIA TECNICA DE ENGENHARIA ELETRIC A;CANCELADA;18422;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CIA TELEF BORDA DO CAMPO;CIA TELEF BORDA DO CAMPO;CANCELADA;4103;TELECOMUNICAÇÕES
CIA TELEF MELHOR RESIST;CIA TELEF MELHOR RESIST;CANCELADA;4090;TELECOMUNICAÇÕES
CIA TELEFONES DO RJ CETEL;CIA TELEFONES DO RJ CETEL;CANCELADA;3166;TELECOMUNICAÇÕES
CIA TERRAS BONSUCESSO;CIA TERRAS BONSUCESSO;CANCELADA;15830;EMP. ADM. PARTICIPAÇÕES
CIA TEXTIL CASTANHAL;CIA TEXTIL CASTANHAL;CANCELADA;4120;TEXTIL E VESTUÁRIO
CIA THERMAS RIO QUENTE;CIA THERMAS RIO QUENTE;CANCELADA;4154;HOSPEDAGEM E TURISMO
CIA UNIAO SEGUROS GERAIS;CIA UNIAO SEGUROS GERAIS;CANCELADA;4162;SEGURADORAS E CORRETORAS
CIA VINICOLA RIO GRANDENSE;CIA VINICOLA RIO GRANDENSE;CANCELADA;4197;BEBIDAS E FUMO
CIA WETZEL INDL;CIA WETZEL INDL;CANCELADA;4200;PETROQUíMICOS E BORRACHA
CIA. BRAS PETRÓLEO IPIRANGA;CIA. BRAS PETRÓLEO IPIRANGA;CANCELADA;2860;PETRÓLEO E GÁS
CIA. DE CIMENTOS DO BRASIL;CIA. DE CIMENTOS DO BRASIL;CANCELADA;2984;EXTRAÇÃO MINERAL
CIA. DE SANEAMENTO DO PARANÁ - SANEPAR;CIA. DE SANEAMENTO DO PARANÁ - SANEPAR;ATIVO;18627;SANEAMENTO, SERV. ÁGUA E GáS
CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO;CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO;ATIVO;16616;SANEAMENTO, SERV. ÁGUA E GáS
CIA. IGUAÇU DE CAFÉ SOLÚVEL;CIA. IGUAÇU DE CAFÉ SOLÚVEL;CANCELADA;3336;ALIMENTOS
CIBRASEC CIA BRASILEIRA DE SECURITIZAÇÃO;CIBRASEC CIA BRASILEIRA DE SECURITIZAÇÃO;ATIVO;18287;SECURITIZAÇÃO DE RECEBÍVEIS
CICA SA;CICA SA;CANCELADA;3417;ALIMENTOS
CICADE CURTUME SA;CICADE CURTUME SA;CANCELADA;13234;TEXTIL E VESTUÁRIO
CICANORTE IND DE CONS ALIM SA;CICANORTE IND DE CONS ALIM SA;CANCELADA;7021;ALIMENTOS
CIDADELA TRUST RECEBIVEIS SA;CIDADELA TRUST RECEBIVEIS SA;CANCELADA;15571;SECURITIZAÇÃO DE RECEBÍVEIS
CIELO S.A.;CIELO S.A.;ATIVO;21733;INTERMEDIAÇÃO FINANCEIRA
CIMBA SA INDUSTRIA E COMERCIO;CIMBA SA INDUSTRIA E COMERCIO;CANCELADA;4235;METALURGIA E SIDERURGIA
CIMENTO ARATU SA;CIMENTO ARATU SA;CANCELADA;4243;EXTRAÇÃO MINERAL
CIMENTO CAUE SA;CIMENTO CAUE SA;CANCELADA;4251;EXTRAÇÃO MINERAL
CIMENTO ITAU DE CORUMBA SA;CIMENTO ITAU DE CORUMBA SA;CANCELADA;4260;EXTRAÇÃO MINERAL
CIMENTO MAUA SA;CIMENTO MAUA SA;CANCELADA;13609;EXTRAÇÃO MINERAL
CIMENTO PORTLAND M GROSSO SA;CIMENTO PORTLAND M GROSSO SA;CANCELADA;4278;EXTRAÇÃO MINERAL
CIMENTO SANTA RITA SA;CIMENTO SANTA RITA SA;CANCELADA;4286;EXTRAÇÃO MINERAL
CIMENTO TOCANTINS SA;CIMENTO TOCANTINS SA;CANCELADA;4294;EXTRAÇÃO MINERAL
CIMENTO TUPI SA;CIMENTO TUPI SA;CANCELADA;4308;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CIMENTO TUPI SA;CIMENTO TUPI SA;CANCELADA;22829;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CIMETAL SIDERURGIA SA - EM LIQUIDAÇÃO;CIMETAL SIDERURGIA SA - EM LIQUIDAÇÃO;CANCELADA;4324;METALURGIA E SIDERURGIA
CIMINAS  CIMENTO NAC MINAS SA;CIMINAS  CIMENTO NAC MINAS SA;CANCELADA;11908;EXTRAÇÃO MINERAL
CIMOB PARTICIPAÇÕES SA;CIMOB PARTICIPAÇÕES SA;CANCELADA;6513;EMP. ADM. PART. - CONST. CIVIL, MAT. CONST. E DECORAçãO
CIMS SA;CIMS SA;ATIVO;14818;EMP. ADM. PART. - SEM SETOR PRINCIPAL
CINESYSTEM S.A.;CINESYSTEM S.A.;ATIVO;23965;BRINQUEDOS E LAZER
CIPA CIA INDL PRODS ALIM;CIPA CIA INDL PRODS ALIM;CANCELADA;4332;ALIMENTOS
CIPLA SA;CIPLA SA;CANCELADA;13900;COMÉRCIO (ATACADO E VAREJO)
CIQUINE CIA INDS QUIMS DO NE;CIQUINE CIA INDS QUIMS DO NE;CANCELADA;4340;PETROQUíMICOS E BORRACHA
CIRCULO S/A;CIRCULO S/A;CANCELADA;7056;TEXTIL E VESTUÁRIO
CITI CP MERCANTIL SA;CITI CP MERCANTIL SA;CANCELADA;16721;SERVICOS DIVERSOS
CITIBANK LEASING S.A. - ARREND.MERCANTIL;CITIBANK LEASING S.A. - ARREND.MERCANTIL;CANCELADA;4383;ARRENDAMENTO MERCANTIL
CITIBANK LEASING S.A. - ARREND.MERCANTIL;CITIBANK LEASING S.A. - ARREND.MERCANTIL;CANCELADA;21270;ARRENDAMENTO MERCANTIL
CITROBRASIL SA;CITROBRASIL SA;CANCELADA;4391;COMÉRCIO (ATACADO E VAREJO)
CLARION S/A AGROINDUSTRIAL;CLARION S/A AGROINDUSTRIAL;CANCELADA;18490;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
CLARO TELECOM PARTICIPAÇÕES S.A.;CLARO TELECOM PARTICIPAÇÕES S.A.;ATIVO;23531;EMP. ADM. PART. - TELECOMUNICAçõES
CLIMAX INDUSTRIA E COMERCIO SA;CLIMAX INDUSTRIA E COMERCIO SA;CANCELADA;4413;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
