Criação da handle do arquivo XSV bem sucedida.
Definição do separador na handle do arquivo XSV bem sucedida.
Definição do arquivo de input da handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Transoformação da lista de colunas em conjunto de colunas bem sucedida.
DENOM_SOCIAL;DENOM_SOCIAL;SIT;CD_CVM;SETOR_ATIV
AGRALE SA;AGRALE SA;CANCELADA;183;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA;AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA;CANCELADA;21911;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
AGRILEASING SA ARREND MERC;AGRILEASING SA ARREND MERC;CANCELADA;191;ARRENDAMENTO MERCANTIL
AGRO PASTORIL CARIRI SA CARIRISA;AGRO PASTORIL CARIRI SA CARIRISA;CANCELADA;205;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
AGRONORTE SA;AGRONORTE SA;CANCELADA;221;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
AGROPECUARIA TAMAKAVY SA;AGROPECUARIA TAMAKAVY SA;CANCELADA;213;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
AGUAS GUARIROBA S.A.;AGUAS GUARIROBA S.A.;ATIVO;23442;SANEAMENTO, SERV. ÁGUA E GáS
AGV HOLDING S/A;AGV HOLDING S/A;CANCELADA;21806;EMP. ADM. PART. - SERVIçOS TRANSPORTE E LOGíSTICA
AIR LIQUIDE;AIR LIQUIDE;CANCELADA;9288;OUTRAS ATIVIDADES INDUSTRIAIS
AL-CAR EMPREENDIMENTOS E PARTICIPAÇÕES SA;AL-CAR EMPREENDIMENTOS E PARTICIPAÇÕES SA;CANCELADA;17957;EMP. ADM. PART. - SEM SETOR PRINCIPAL
ALBAE PARTICIPACOES SA;ALBAE PARTICIPACOES SA;CANCELADA;18074;EMP. ADM. PARTICIPAÇÕES
ALBATROZ SA;ALBATROZ SA;CANCELADA;13242;EMP. ADM. PARTICIPAÇÕES
ALCALIS RIO GRANDE DO NORTE SA;ALCALIS RIO GRANDE DO NORTE SA;CANCELADA;15067;PETROQUíMICOS E BORRACHA
ALCAN ALUMINIO DO BRASIL SA;ALCAN ALUMINIO DO BRASIL SA;CANCELADA;256;METALURGIA E SIDERURGIA
ALCOA ALUMINIO SA;ALCOA ALUMINIO SA;CANCELADA;264;METALURGIA E SIDERURGIA
ALEF SA;ALEF SA;ATIVO;16705;EMP. ADM. PART. - SEM SETOR PRINCIPAL
ALFA HOLDINGS SA;ALFA HOLDINGS SA;ATIVO;9954;EMP. ADM. PART. - INTERMEDIAçãO FINANCEIRA
ALFA NORDESTE SA INDUSTRIA DO VESTUARIO;ALFA NORDESTE SA INDUSTRIA DO VESTUARIO;CANCELADA;272;TEXTIL E VESTUÁRIO
ALFRED SA COMERCIO DO VESTUARIO;ALFRED SA COMERCIO DO VESTUARIO;CANCELADA;280;TEXTIL E VESTUÁRIO
ALGAR TELECOM S/A;ALGAR TELECOM S/A;ATIVO;21032;TELECOMUNICAÇÕES
ALIANSCE SHOPPING CENTERS S/A;ALIANSCE SHOPPING CENTERS S/A;CANCELADA;21300;EMP. ADM. PART. - COMéRCIO (ATACADO E VAREJO)
ALIANSCE SONAE SHOPPING CENTERS S.A.;ALIANSCE SONAE SHOPPING CENTERS S.A.;ATIVO;22357;EMP. ADM. PART. - COMéRCIO (ATACADO E VAREJO)
ALIMENTA PARTICIPAÇÕES E SERVIÇOS SA;ALIMENTA PARTICIPAÇÕES E SERVIÇOS SA;CANCELADA;18260;EMP. ADM. PARTICIPAÇÕES
ALIPAR ALIMENTOS E PARTS SA;ALIPAR ALIMENTOS E PARTS SA;CANCELADA;14079;EMP. ADM. PARTICIPAÇÕES
ALIUM PARTICIPAÇÕES SA;ALIUM PARTICIPAÇÕES SA;CANCELADA;18082;EMP. ADM. PART. - SEM SETOR PRINCIPAL
ALLIS PARTICIPAÇÕES S.A.;ALLIS PARTICIPAÇÕES S.A.;CANCELADA;20850;EMP. ADM. PART. - SEM SETOR PRINCIPAL
ALMEC INDUSTRIAS MECANICA SA;ALMEC INDUSTRIAS MECANICA SA;CANCELADA;302;METALURGIA E SIDERURGIA
ALPARGATAS SA;ALPARGATAS SA;ATIVO;10456;TEXTIL E VESTUÁRIO
ALPART ALPA PARTICIPACOES SA;ALPART ALPA PARTICIPACOES SA;CANCELADA;310;EMP. ADM. PARTICIPAÇÕES
ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;ATIVO;22217;EMP. ADM. PART. - SEGURADORAS E CORRETORAS
ALPINA BRASIL SA MAQ IMP AGRIC;ALPINA BRASIL SA MAQ IMP AGRIC;CANCELADA;329;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
ALPLAN SA IND COM CH MAD AGLOM;ALPLAN SA IND COM CH MAD AGLOM;CANCELADA;337;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
ALTA - AMER.LAT.TELEC.AVANÇADAS S/A;ALTA - AMER.LAT.TELEC.AVANÇADAS S/A;CANCELADA;17310;TELECOMUNICAÇÕES
ALTERE SECURITIZADORA S.A.;ALTERE SECURITIZADORA S.A.;ATIVO;18066;SECURITIZAÇÃO DE RECEBÍVEIS
ALTUS SISTEMA DE AUTOMAÇÃO S.A.;ALTUS SISTEMA DE AUTOMAÇÃO S.A.;CANCELADA;23183;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
ALUMINIO EXTRUSAO LAMINACAO;ALUMINIO EXTRUSAO LAMINACAO;CANCELADA;345;EMP. ADM. PARTICIPAÇÕES
ALUPAR INVESTIMENTO S/A;ALUPAR INVESTIMENTO S/A;ATIVO;21490;EMP. ADM. PART. - ENERGIA ELéTRICA
ALUSUD ALUMINIO DO SUL SA;ALUSUD ALUMINIO DO SUL SA;CANCELADA;353;METALURGIA E SIDERURGIA
ALVORADA CARTOES, CREDITO, FINANCIAMENTO E INVESTIMENTO S/A;ALVORADA CARTOES, CREDITO, FINANCIAMENTO E INVESTIMENTO S/A;CANCELADA;1147;BANCOS
AMADEO ROSSI SA MET MUNICOES;AMADEO ROSSI SA MET MUNICOES;CANCELADA;361;METALURGIA E SIDERURGIA
AMALFI EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;AMALFI EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;CANCELADA;24503;EMP. ADM. PART. - ENERGIA ELéTRICA
AMARANTE PARTICIPACOES SA;AMARANTE PARTICIPACOES SA;CANCELADA;16918;EMP. ADM. PARTICIPAÇÕES
AMAZONAS PRODS P CALCADOS SA;AMAZONAS PRODS P CALCADOS SA;CANCELADA;370;TEXTIL E VESTUÁRIO
AMAZONIA CELULAR S/A;AMAZONIA CELULAR S/A;CANCELADA;17280;TELECOMUNICAÇÕES
AMBEV S.A.;AMBEV S.A.;ATIVO;23264;BEBIDAS E FUMO
AMELCO SA IND ELETRONICA;AMELCO SA IND ELETRONICA;CANCELADA;12750;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
AMERICA DO SUL LEAS SA ARR MER;AMERICA DO SUL LEAS SA ARR MER;CANCELADA;388;ARRENDAMENTO MERCANTIL
AMERICAS EMPRS ARTISTICOS SA;AMERICAS EMPRS ARTISTICOS SA;CANCELADA;15679;HOSPEDAGEM E TURISMO
AMERICEL SA;AMERICEL SA;CANCELADA;16195;TELECOMUNICAÇÕES
